,BoroughName,1st_Dose_Uptake_%,2nd_Dose_Uptake_%
318,Greenwich,72.7,67.8
319,Greenwich,76.3,72.3
320,Greenwich,81.4,78.5
321,Greenwich,75.4,71.2
322,Greenwich,84.0,81.3
323,Greenwich,74.1,69.9
324,Greenwich,83.0,80.1
325,Greenwich,78.4,75.5
326,Greenwich,68.4,63.6
327,Greenwich,72.5,67.8
328,Greenwich,72.9,69.3
329,Greenwich,80.9,78.3
330,Hackney and City of London,45.6,41.5
331,Hackney and City of London,65.9,60.9
332,Hackney and City of London,50.5,46.1
333,Hackney and City of London,47.8,43.5
334,Hackney and City of London,62.1,58.5
335,Hackney and City of London,69.6,66.1
336,Hackney and City of London,68.8,65.7
337,Hackney and City of London,74.6,71.1
338,Hackney and City of London,64.7,60.9
339,Hackney and City of London,70.8,67.0
340,Hackney and City of London,74.1,70.9
341,Hackney and City of London,60.4,56.1
342,Hackney and City of London,66.4,62.4
343,Hackney and City of London,67.5,63.7
344,Hackney and City of London,64.9,60.7
345,Hackney and City of London,67.0,63.0
346,Hackney and City of London,66.1,61.9
347,Hackney and City of London,61.9,57.6
348,Hackney and City of London,70.3,66.8
349,Hackney and City of London,68.0,64.4
350,Hackney and City of London,67.6,63.5
351,Hackney and City of London,67.4,63.2
352,Hackney and City of London,65.4,61.1
353,Hackney and City of London,66.3,62.1
354,Hackney and City of London,64.7,59.9
355,Hackney and City of London,58.2,51.5
356,Hammersmith and Fulham,56.6,50.9
357,Hammersmith and Fulham,53.8,49.1
358,Hammersmith and Fulham,60.9,56.6
359,Hammersmith and Fulham,59.4,55.6
360,Hammersmith and Fulham,59.7,56.2
361,Hammersmith and Fulham,61.7,57.9
362,Hammersmith and Fulham,60.9,57.2
363,Hammersmith and Fulham,70.2,66.7
364,Hammersmith and Fulham,68.7,65.6
365,Hammersmith and Fulham,62.7,58.1
366,Hammersmith and Fulham,69.0,64.8
367,Hammersmith and Fulham,61.0,56.6
368,Hammersmith and Fulham,63.8,59.7
369,Hammersmith and Fulham,61.5,58.2
370,Hammersmith and Fulham,57.4,53.9
371,Hammersmith and Fulham,61.6,57.4
372,Hammersmith and Fulham,65.1,61.2
373,Hammersmith and Fulham,67.8,64.5
374,Hammersmith and Fulham,61.9,59.1
375,Hammersmith and Fulham,68.7,65.4
376,Hammersmith and Fulham,65.9,62.4
377,Hammersmith and Fulham,66.2,63.2
378,Hammersmith and Fulham,64.3,59.6
379,Hammersmith and Fulham,71.8,68.8
380,Hammersmith and Fulham,68.9,64.8
381,Haringey,62.1,58.6
382,Haringey,55.2,50.2
383,Haringey,66.6,63.2
384,Haringey,61.0,56.8
385,Haringey,59.0,54.4
386,Haringey,58.8,55.4
387,Haringey,56.4,53.0
388,Haringey,81.5,78.9
389,Haringey,59.7,56.4
390,Haringey,57.5,53.4
391,Haringey,58.1,53.1
392,Haringey,63.5,59.4
393,Haringey,80.8,78.0
394,Haringey,60.4,55.0
395,Haringey,59.8,55.7
396,Haringey,79.2,76.2
397,Haringey,58.9,54.7
398,Haringey,60.4,57.1
399,Haringey,71.5,68.3
400,Haringey,81.7,79.0
401,Haringey,83.2,80.6
402,Haringey,62.2,58.8
403,Haringey,64.3,59.9
404,Haringey,60.7,55.6
405,Haringey,57.4,53.7
406,Haringey,59.3,55.8
407,Haringey,74.6,71.8
408,Haringey,47.3,42.4
409,Haringey,78.9,75.7
410,Haringey,62.8,59.2
411,Haringey,59.7,54.9
412,Haringey,79.7,77.0
413,Haringey,75.8,72.9
414,Haringey,79.8,76.9
415,Haringey,68.3,65.9
416,Harrow,76.1,72.7
417,Harrow,69.9,66.6
418,Harrow,73.6,70.6
419,Harrow,86.8,84.2
420,Harrow,74.0,70.5
421,Harrow,77.2,73.8
422,Harrow,61.6,57.9
423,Harrow,74.8,71.6
424,Harrow,79.9,76.6
425,Harrow,59.1,55.7
426,Harrow,65.1,60.4
427,Harrow,67.1,63.6
428,Harrow,65.0,60.8
429,Harrow,78.5,75.0
430,Harrow,85.1,82.2
431,Harrow,64.4,60.9
432,Harrow,82.1,79.5
433,Harrow,62.9,57.9
434,Harrow,70.1,65.9
435,Harrow,84.8,82.0
436,Harrow,69.1,64.0
437,Harrow,71.8,68.8
438,Harrow,77.3,73.8
439,Harrow,69.6,65.1
440,Harrow,71.1,66.9
441,Harrow,70.3,65.5
442,Harrow,70.3,66.1
443,Harrow,71.9,67.7
444,Havering,73.5,69.6
445,Havering,69.7,65.9
446,Havering,74.9,71.1
447,Havering,67.3,62.0
448,Havering,76.3,73.0
449,Havering,71.4,67.8
450,Havering,80.2,77.1
451,Havering,84.7,82.3
452,Havering,79.2,76.0
453,Havering,82.2,79.5
454,Havering,75.2,71.4
455,Havering,82.8,80.6
456,Havering,71.7,67.6
457,Havering,84.9,82.5
458,Havering,88.1,86.2
459,Havering,72.2,68.8
460,Havering,71.0,66.6
461,Havering,85.7,83.0
462,Havering,89.4,87.4
463,Havering,83.1,80.5
464,Havering,83.3,80.4
465,Havering,83.5,80.5
466,Havering,83.7,81.4
467,Havering,89.4,87.9
468,Havering,86.6,84.3
469,Havering,78.5,75.5
470,Havering,78.1,74.8
471,Havering,73.0,68.8
472,Havering,81.4,78.2
473,Havering,71.8,67.7
474,Hillingdon,82.4,79.8
475,Hillingdon,74.4,70.9
476,Hillingdon,81.7,78.2
477,Hillingdon,81.6,78.6
478,Hillingdon,84.6,81.6
479,Hillingdon,85.2,82.6
480,Hillingdon,83.6,81.1
481,Hillingdon,84.5,82.0
482,Hillingdon,79.3,76.5
483,Hillingdon,83.8,81.0
484,Hillingdon,87.3,85.0
485,Hillingdon,84.7,82.3
486,Hillingdon,79.3,76.0
487,Hillingdon,68.0,62.9
488,Hillingdon,59.2,53.8
489,Hillingdon,77.4,73.6
490,Hillingdon,77.0,72.8
