,BoroughName,1st_Dose_Uptake_%,2nd_Dose_Uptake_%
864,Waltham Forest,75.6,72.3
865,Waltham Forest,70.8,67.2
866,Waltham Forest,65.5,61.6
867,Waltham Forest,80.6,77.9
868,Waltham Forest,69.6,65.4
869,Waltham Forest,65.0,60.8
870,Waltham Forest,67.2,63.5
871,Waltham Forest,66.8,62.9
872,Waltham Forest,66.3,62.5
873,Waltham Forest,64.3,60.2
874,Waltham Forest,67.0,63.1
875,Waltham Forest,73.0,69.6
876,Waltham Forest,68.2,64.8
877,Waltham Forest,66.6,62.9
878,Waltham Forest,65.8,62.1
879,Waltham Forest,64.5,60.4
880,Waltham Forest,58.9,54.5
881,Waltham Forest,66.6,63.1
882,Waltham Forest,62.6,58.8
883,Waltham Forest,61.7,58.2
884,Waltham Forest,64.5,61.0
885,Waltham Forest,61.2,57.4
886,Waltham Forest,60.8,56.4
887,Waltham Forest,57.7,53.6
888,Waltham Forest,58.6,55.3
889,Wandsworth,69.3,65.9
890,Wandsworth,65.0,60.2
891,Wandsworth,64.3,60.6
892,Wandsworth,69.2,66.0
893,Wandsworth,71.0,67.3
894,Wandsworth,73.7,71.3
895,Wandsworth,61.9,58.1
896,Wandsworth,66.6,62.5
897,Wandsworth,74.0,71.4
898,Wandsworth,69.9,67.2
899,Wandsworth,70.0,67.4
900,Wandsworth,70.5,67.5
901,Wandsworth,57.7,53.1
902,Wandsworth,63.9,60.9
903,Wandsworth,77.7,74.9
904,Wandsworth,64.6,61.0
905,Wandsworth,81.7,79.1
906,Wandsworth,67.2,63.9
907,Wandsworth,66.2,62.6
908,Wandsworth,76.3,73.6
909,Wandsworth,75.3,72.7
910,Wandsworth,65.4,61.5
911,Wandsworth,58.7,54.2
912,Wandsworth,70.5,67.7
913,Wandsworth,77.8,75.5
914,Wandsworth,73.5,70.9
915,Wandsworth,80.3,78.1
916,Wandsworth,67.8,64.8
917,Wandsworth,73.6,71.0
918,Wandsworth,74.7,72.0
919,Wandsworth,74.2,71.6
920,Wandsworth,71.2,68.1
921,Wandsworth,68.2,64.8
922,Wandsworth,65.2,61.7
923,Wandsworth,67.1,63.8
924,Wandsworth,73.6,69.7
925,Wandsworth,67.9,64.0
926,Westminster,62.9,57.9
927,Westminster,62.8,58.5
928,Westminster,61.7,56.9
929,Westminster,64.4,60.5
930,Westminster,61.5,57.4
931,Westminster,62.6,59.3
932,Westminster,63.7,59.6
933,Westminster,57.3,51.0
934,Westminster,62.6,57.2
935,Westminster,60.3,55.7
936,Westminster,60.6,54.1
937,Westminster,59.6,52.9
938,Westminster,62.4,55.6
939,Westminster,63.4,58.9
940,Westminster,63.1,55.9
941,Westminster,56.5,51.2
942,Westminster,55.0,49.8
943,Westminster,67.0,59.9
944,Westminster,63.4,55.0
945,Westminster,62.2,56.5
946,Westminster,66.9,62.3
947,Westminster,66.4,61.8
948,Westminster,66.1,61.3
949,Westminster,67.9,63.1
950,Bromley,76.6,73.1
951,Lewisham,63.9,58.9
952,Lewisham,68.2,64.1
953,Bexley,79.7,76.4
954,Greenwich,69.4,64.5
955,Bromley,83.1,80.1
956,Croydon,65.3,61.0
957,Bromley,84.9,82.1
958,Ealing,72.8,70.0
959,Hounslow,69.2,65.9
960,Enfield,60.1,54.8
961,Haringey,55.6,50.6
962,Harrow,74.7,70.3
963,Hillingdon,78.7,75.2
964,Lewisham,63.7,58.9
965,Barking and Dagenham,67.9,63.3
966,Redbridge,65.8,60.7
967,Lambeth,58.6,50.8
968,Southwark,63.4,57.3
969,Sutton,87.1,84.6
970,Tower Hamlets,66.6,60.2
971,Tower Hamlets,67.4,60.1
972,Harrow,70.4,67.1
973,Hackney and City of London,60.3,56.2
974,Hackney and City of London,51.5,47.2
975,Redbridge,69.8,65.3
976,Redbridge,77.3,73.2
977,Greenwich,75.4,72.0
978,Greenwich,62.8,58.1
979,Greenwich,72.0,67.3
980,Greenwich,72.9,69.2
981,Greenwich,71.1,67.2
