regionCode,regionName,UtlaCode,UtlaName,LtlaCode,LtlaName,areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
E12000007,London,E09000005,Brent,E09000005,Brent,E02000093,Queensbury South,msoa,12/10/2022,62.8,59.2,43.5
E12000007,London,E09000005,Brent,E09000005,Brent,E02000094,Kingsbury East & Colindale,msoa,12/10/2022,63.3,59.5,40.7
E12000007,London,E09000005,Brent,E09000005,Brent,E02000095,Kingsbury West,msoa,12/10/2022,65.4,61.8,45.8
E12000007,London,E09000005,Brent,E09000005,Brent,E02000096,Kenton Woodcock Park,msoa,12/10/2022,72.4,69.6,56.2
E12000007,London,E09000005,Brent,E09000005,Brent,E02000097,Kingsbury South,msoa,12/10/2022,65.4,61.9,42.7
E12000007,London,E09000005,Brent,E09000005,Brent,E02000098,Barnhill The Avenue,msoa,12/10/2022,64.7,60.4,41.6
E12000007,London,E09000005,Brent,E09000005,Brent,E02000099,Preston Park & East Lane,msoa,12/10/2022,60.3,56.5,39.4
E12000007,London,E09000005,Brent,E09000005,Brent,E02000100,Northwick Park,msoa,12/10/2022,70.9,66.2,50.6
E12000007,London,E09000005,Brent,E09000005,Brent,E02000101,Forty Lane,msoa,12/10/2022,61,56.7,36.7
E12000007,London,E09000005,Brent,E09000005,Brent,E02000102,Welsh Harp,msoa,12/10/2022,59.5,54.2,33
E12000007,London,E09000005,Brent,E09000005,Brent,E02000103,Dollis Hill,msoa,12/10/2022,63.1,58.6,35.9
E12000007,London,E09000005,Brent,E09000005,Brent,E02000104,Wembley North,msoa,12/10/2022,64.1,60.4,41.8
E12000007,London,E09000005,Brent,E09000005,Brent,E02000105,Sudbury East,msoa,12/10/2022,64.9,60.7,40.1
E12000007,London,E09000005,Brent,E09000005,Brent,E02000106,Neasden,msoa,12/10/2022,56.7,52,31.5
E12000007,London,E09000005,Brent,E09000005,Brent,E02000107,Cricklewood Anson Road,msoa,12/10/2022,62.9,59,39.9
E12000007,London,E09000005,Brent,E09000005,Brent,E02000108,Sudbury West,msoa,12/10/2022,66.8,62.5,42.7
E12000007,London,E09000005,Brent,E09000005,Brent,E02000109,Tokyngton,msoa,12/10/2022,62.8,55.1,35.5
E12000007,London,E09000005,Brent,E09000005,Brent,E02000110,Dudden Hill,msoa,12/10/2022,65.1,61,43.6
E12000007,London,E09000005,Brent,E09000005,Brent,E02000111,Wembley West,msoa,12/10/2022,66.4,62.1,41.5
E12000007,London,E09000005,Brent,E09000005,Brent,E02000112,Wembley East,msoa,12/10/2022,66.5,61.7,39.8
E12000007,London,E09000005,Brent,E09000005,Brent,E02000113,St Raphaels,msoa,12/10/2022,58.8,53.2,30.5
E12000007,London,E09000005,Brent,E09000005,Brent,E02000114,Willesden Green,msoa,12/10/2022,61.4,57.5,39.1
E12000007,London,E09000005,Brent,E09000005,Brent,E02000115,Brondesbury,msoa,12/10/2022,62.5,58.7,42.2
E12000007,London,E09000005,Brent,E09000005,Brent,E02000116,Roundwood Park,msoa,12/10/2022,60.3,55.6,34.3
E12000007,London,E09000005,Brent,E09000005,Brent,E02000117,Church End,msoa,12/10/2022,56.8,52.1,31.5
E12000007,London,E09000005,Brent,E09000005,Brent,E02000118,Alperton East,msoa,12/10/2022,73.3,68.9,47
E12000007,London,E09000005,Brent,E09000005,Brent,E02000119,Stonebridge,msoa,12/10/2022,61.5,56.6,33.9
E12000007,London,E09000005,Brent,E09000005,Brent,E02000120,Kilburn West,msoa,12/10/2022,61.6,57.7,42
E12000007,London,E09000005,Brent,E09000005,Brent,E02000121,Alperton West,msoa,12/10/2022,72.6,68.1,46.9
E12000007,London,E09000005,Brent,E09000005,Brent,E02000122,Brondesbury Park,msoa,12/10/2022,68.5,64.7,47.5
E12000007,London,E09000005,Brent,E09000005,Brent,E02000123,Harlesden,msoa,12/10/2022,58.1,52.7,32.6
E12000007,London,E09000005,Brent,E09000005,Brent,E02000124,Queens Park,msoa,12/10/2022,68.1,64.4,48.9
E12000007,London,E09000005,Brent,E09000005,Brent,E02000125,Kensal Green,msoa,12/10/2022,67.9,63.8,46.6
E12000007,London,E09000005,Brent,E09000005,Brent,E02000126,Kilburn Park,msoa,12/10/2022,60.5,55.7,35.1
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000127,Mottingham,msoa,12/10/2022,71.3,67.5,49.8
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000128,Chislehurst North,msoa,12/10/2022,83.9,81.1,66.5
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000130,Penge East,msoa,12/10/2022,78.3,75.3,59.9
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000131,Crystal Palace Park,msoa,12/10/2022,73.3,70.1,54.7
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000132,New Beckenham,msoa,12/10/2022,78.6,75.7,61.9
