,1st_Dose_Uptake_%,2nd_Dose_Uptake_%,MSOA11CD,MSOA11NM,all_bame_prop,all_black_prop,pakistani_or_bangladeshi_prop,all_indian_prop,Region,Borough,Code,Unnamed: 10
Barnet,,69.17317073,E02000038,Barnet 015,0.345349058,0.078561917,0.017215142,0.09729884,North,Barnet,E09000003,
Barnet,,69.17317073,E02000039,Barnet 016,0.298576779,0.064868914,0.024868914,0.062022472,North,Barnet,E09000003,
Barnet,,69.17317073,E02000040,Barnet 017,0.376962623,0.097957482,0.024732527,0.058774489,North,Barnet,E09000003,
Barnet,,69.17317073,E02000041,Barnet 018,0.428101237,0.093632959,0.029962547,0.114175462,North,Barnet,E09000003,
Barnet,,69.17317073,E02000042,Barnet 019,0.420340258,0.052824514,0.027352195,0.145972366,North,Barnet,E09000003,
Barnet,,69.17317073,E02000043,Barnet 020,0.396049896,0.026117464,0.019230769,0.12720894,North,Barnet,E09000003,
Barnet,,69.17317073,E02000044,Barnet 021,0.438979061,0.150043365,0.025027878,0.067401809,North,Barnet,E09000003,
Barnet,,69.17317073,E02000045,Barnet 022,0.354596073,0.088600176,0.01465273,0.066230341,North,Barnet,E09000003,
Barnet,,69.17317073,E02000046,Barnet 023,0.372221436,0.039926377,0.018972108,0.111850488,North,Barnet,E09000003,
Barnet,,69.17317073,E02000047,Barnet 024,0.539435505,0.157126528,0.034643454,0.085993142,North,Barnet,E09000003,
Barnet,,69.17317073,E02000048,Barnet 025,0.361108282,0.062442701,0.023123154,0.075888764,North,Barnet,E09000003,
Barnet,,69.17317073,E02000049,Barnet 026,0.615429848,0.296248383,0.022933082,0.043866871,North,Barnet,E09000003,
Barnet,,69.17317073,E02000050,Barnet 027,0.376291733,0.09131558,0.020369634,0.112678855,North,Barnet,E09000003,
Barnet,,69.17317073,E02000051,Barnet 028,0.343009136,0.052503759,0.018503527,0.079102579,North,Barnet,E09000003,
Barnet,,69.17317073,E02000052,Barnet 029,0.265518664,0.061765312,0.01505465,0.049804083,North,Barnet,E09000003,
Barnet,,69.17317073,E02000053,Barnet 030,0.590318501,0.126250431,0.053006784,0.11406232,North,Barnet,E09000003,
Barnet,,69.17317073,E02000054,Barnet 031,0.459616986,0.091174022,0.028864835,0.097696364,North,Barnet,E09000003,
Barnet,,69.17317073,E02000055,Barnet 032,0.381221923,0.069631626,0.018508535,0.083018868,North,Barnet,E09000003,
Barnet,,69.17317073,E02000056,Barnet 033,0.2032132,0.021710812,0.011832393,0.036799826,North,Barnet,E09000003,
Barnet,,69.17317073,E02000057,Barnet 034,0.295831106,0.043693212,0.016034206,0.061865313,North,Barnet,E09000003,
Barnet,,69.17317073,E02000058,Barnet 035,0.232191781,0.033072407,0.014677104,0.03630137,North,Barnet,E09000003,
Barnet,,69.17317073,E02000059,Barnet 036,0.577971125,0.112056602,0.048474998,0.172674252,North,Barnet,E09000003,
Barnet,,69.17317073,E02000060,Barnet 037,0.273901099,0.034065934,0.013461538,0.056959707,North,Barnet,E09000003,
Barnet,,69.17317073,E02000061,Barnet 038,0.337077249,0.032322476,0.018844378,0.052539623,North,Barnet,E09000003,
Barnet,,69.17317073,E02000062,Barnet 039,0.506309148,0.153943218,0.035804416,0.082018927,North,Barnet,E09000003,
Barnet,,69.17317073,E02000063,Barnet 040,0.477262946,0.11146177,0.032563477,0.053794291,North,Barnet,E09000003,
Barnet,,69.17317073,E02000064,Barnet 041,0.391485275,0.104353393,0.025928297,0.031049936,North,Barnet,E09000003,
Bexley,80.70357143,,E02000065,Bexley 001,0.566918863,0.437516306,0.010566136,0.018914688,East,Bexley,E09000004,
Bexley,80.70357143,,E02000066,Bexley 002,0.470905508,0.31791308,0.008090447,0.028212841,East,Bexley,E09000004,
Bexley,80.70357143,,E02000067,Bexley 003,0.304228571,0.164,0.006057143,0.054285714,East,Bexley,E09000004,
Bexley,80.70357143,,E02000068,Bexley 004,0.346913914,0.210341094,0.005955604,0.056848944,East,Bexley,E09000004,
Bexley,80.70357143,,E02000069,Bexley 005,0.256377139,0.121730707,0.01033258,0.06151114,East,Bexley,E09000004,
Bexley,80.70357143,,E02000070,Bexley 006,0.176126984,0.066412698,0.005206349,0.051428571,East,Bexley,E09000004,
Bexley,80.70357143,,E02000071,Bexley 007,0.15109589,0.053561644,0.004931507,0.04,East,Bexley,E09000004,
Bexley,80.70357143,,E02000072,Bexley 008,0.287455258,0.207346174,0.003664565,0.013124254,East,Bexley,E09000004,
Bexley,80.70357143,,E02000073,Bexley 009,0.161973144,0.046717643,0.00690041,0.050261097,East,Bexley,E09000004,
Bexley,80.70357143,,E02000074,Bexley 010,0.178576094,0.10711953,0.006009144,0.024428478,East,Bexley,E09000004,
Bexley,80.70357143,,E02000075,Bexley 011,0.115626573,0.029189733,0.004529441,0.035858078,East,Bexley,E09000004,
Bexley,80.70357143,,E02000077,Bexley 013,0.171289787,0.046785121,0.008947974,0.04473987,East,Bexley,E09000004,
Bexley,80.70357143,,E02000078,Bexley 014,0.093672538,0.041226354,0.001565558,0.012393999,East,Bexley,E09000004,
Bexley,80.70357143,,E02000079,Bexley 015,0.134138589,0.027082009,0.008010172,0.033312142,East,Bexley,E09000004,
Bexley,80.70357143,,E02000080,Bexley 016,0.18504772,0.04835631,0.00795334,0.045705196,East,Bexley,E09000004,
Bexley,80.70357143,,E02000081,Bexley 017,0.104485558,0.02994809,0.005723413,0.023825369,East,Bexley,E09000004,
Bexley,80.70357143,,E02000082,Bexley 018,0.125844975,0.036728256,0.008111762,0.02546192,East,Bexley,E09000004,
Bexley,80.70357143,,E02000083,Bexley 019,0.121174905,0.053730427,0.007266401,0.015351551,East,Bexley,E09000004,
Bexley,80.70357143,,E02000084,Bexley 020,0.129029227,0.030636218,0.005356639,0.035147073,East,Bexley,E09000004,
Bexley,80.70357143,,E02000085,Bexley 021,0.099835297,0.027112631,0.007094894,0.011529203,East,Bexley,E09000004,
Bexley,80.70357143,,E02000086,Bexley 022,0.074372271,0.012418122,0.002319869,0.019787118,East,Bexley,E09000004,
Bexley,80.70357143,,E02000087,Bexley 023,0.103311783,0.018208207,0.003826362,0.032590051,East,Bexley,E09000004,
Bexley,80.70357143,,E02000088,Bexley 024,0.081943906,0.014346646,0.0068502,0.021713843,East,Bexley,E09000004,
Bexley,80.70357143,,E02000089,Bexley 025,0.076063215,0.021457022,0.00372607,0.013619427,East,Bexley,E09000004,
Bexley,80.70357143,,E02000090,Bexley 026,0.094430438,0.019711208,0.006303003,0.017648407,East,Bexley,E09000004,
Bexley,80.70357143,,E02000091,Bexley 027,0.105350134,0.023858707,0.012600702,0.018797769,East,Bexley,E09000004,
Bexley,80.70357143,,E02000092,Bexley 028,0.125894802,0.047152194,0.008247744,0.012293806,East,Bexley,E09000004,
Bexley,80.70357143,,E02006785,Bexley 029,0.178258145,0.059837093,0.005325815,0.039630326,East,Bexley,E09000004,
Bexley,,77.30357143,E02000065,Bexley 001,0.566918863,0.437516306,0.010566136,0.018914688,East,Bexley,E09000004,
Bexley,,77.30357143,E02000066,Bexley 002,0.470905508,0.31791308,0.008090447,0.028212841,East,Bexley,E09000004,
Bexley,,77.30357143,E02000067,Bexley 003,0.304228571,0.164,0.006057143,0.054285714,East,Bexley,E09000004,
Bexley,,77.30357143,E02000068,Bexley 004,0.346913914,0.210341094,0.005955604,0.056848944,East,Bexley,E09000004,
Bexley,,77.30357143,E02000069,Bexley 005,0.256377139,0.121730707,0.01033258,0.06151114,East,Bexley,E09000004,
Bexley,,77.30357143,E02000070,Bexley 006,0.176126984,0.066412698,0.005206349,0.051428571,East,Bexley,E09000004,
Bexley,,77.30357143,E02000071,Bexley 007,0.15109589,0.053561644,0.004931507,0.04,East,Bexley,E09000004,
Bexley,,77.30357143,E02000072,Bexley 008,0.287455258,0.207346174,0.003664565,0.013124254,East,Bexley,E09000004,
Bexley,,77.30357143,E02000073,Bexley 009,0.161973144,0.046717643,0.00690041,0.050261097,East,Bexley,E09000004,
Bexley,,77.30357143,E02000074,Bexley 010,0.178576094,0.10711953,0.006009144,0.024428478,East,Bexley,E09000004,
Bexley,,77.30357143,E02000075,Bexley 011,0.115626573,0.029189733,0.004529441,0.035858078,East,Bexley,E09000004,
Bexley,,77.30357143,E02000077,Bexley 013,0.171289787,0.046785121,0.008947974,0.04473987,East,Bexley,E09000004,
Bexley,,77.30357143,E02000078,Bexley 014,0.093672538,0.041226354,0.001565558,0.012393999,East,Bexley,E09000004,
Bexley,,77.30357143,E02000079,Bexley 015,0.134138589,0.027082009,0.008010172,0.033312142,East,Bexley,E09000004,
Bexley,,77.30357143,E02000080,Bexley 016,0.18504772,0.04835631,0.00795334,0.045705196,East,Bexley,E09000004,
Bexley,,77.30357143,E02000081,Bexley 017,0.104485558,0.02994809,0.005723413,0.023825369,East,Bexley,E09000004,
Bexley,,77.30357143,E02000082,Bexley 018,0.125844975,0.036728256,0.008111762,0.02546192,East,Bexley,E09000004,
Bexley,,77.30357143,E02000083,Bexley 019,0.121174905,0.053730427,0.007266401,0.015351551,East,Bexley,E09000004,
Bexley,,77.30357143,E02000084,Bexley 020,0.129029227,0.030636218,0.005356639,0.035147073,East,Bexley,E09000004,
Bexley,,77.30357143,E02000085,Bexley 021,0.099835297,0.027112631,0.007094894,0.011529203,East,Bexley,E09000004,
Bexley,,77.30357143,E02000086,Bexley 022,0.074372271,0.012418122,0.002319869,0.019787118,East,Bexley,E09000004,
Bexley,,77.30357143,E02000087,Bexley 023,0.103311783,0.018208207,0.003826362,0.032590051,East,Bexley,E09000004,
Bexley,,77.30357143,E02000088,Bexley 024,0.081943906,0.014346646,0.0068502,0.021713843,East,Bexley,E09000004,
Bexley,,77.30357143,E02000089,Bexley 025,0.076063215,0.021457022,0.00372607,0.013619427,East,Bexley,E09000004,
Bexley,,77.30357143,E02000090,Bexley 026,0.094430438,0.019711208,0.006303003,0.017648407,East,Bexley,E09000004,
Bexley,,77.30357143,E02000091,Bexley 027,0.105350134,0.023858707,0.012600702,0.018797769,East,Bexley,E09000004,
Bexley,,77.30357143,E02000092,Bexley 028,0.125894802,0.047152194,0.008247744,0.012293806,East,Bexley,E09000004,
Bexley,,77.30357143,E02006785,Bexley 029,0.178258145,0.059837093,0.005325815,0.039630326,East,Bexley,E09000004,
Brent,64.02647059,,E02000093,Brent 001,0.720573371,0.095837545,0.046770192,0.381604337,West,Brent,E09000005,
Brent,64.02647059,,E02000094,Brent 002,0.625314429,0.134461468,0.075691745,0.184770181,West,Brent,E09000005,
Brent,64.02647059,,E02000095,Brent 003,0.721701441,0.076201996,0.05463159,0.396230219,West,Brent,E09000005,
Brent,64.02647059,,E02000096,Brent 004,0.677151882,0.041458278,0.041984733,0.438404843,West,Brent,E09000005,
Brent,64.02647059,,E02000097,Brent 005,0.638758651,0.116208975,0.064300067,0.229515517,West,Brent,E09000005,
Brent,64.02647059,,E02000098,Brent 006,0.672079557,0.127265861,0.056898288,0.234390735,West,Brent,E09000005,
Brent,64.02647059,,E02000099,Brent 007,0.700011485,0.139657747,0.057654761,0.263466177,West,Brent,E09000005,
Brent,64.02647059,,E02000100,Brent 008,0.684191702,0.083094897,0.072365284,0.309370529,West,Brent,E09000005,
Brent,64.02647059,,E02000101,Brent 009,0.696635234,0.225246464,0.053471925,0.180561509,West,Brent,E09000005,
Brent,64.02647059,,E02000102,Brent 010,0.683318351,0.234236548,0.092590214,0.15898292,West,Brent,E09000005,
Brent,64.02647059,,E02000103,Brent 011,0.577553594,0.210936604,0.073942451,0.056287974,West,Brent,E09000005,
Brent,64.02647059,,E02000104,Brent 012,0.701049209,0.132702823,0.068272499,0.263927885,West,Brent,E09000005,
Brent,64.02647059,,E02000105,Brent 013,0.757552706,0.13931754,0.068898066,0.28722017,West,Brent,E09000005,
