MSOA11CD,MSOA11NM,LocalAuthority,total_registered_patients,Hypertension,"Obesity (18+)",Diabetes,Asthma,"Coronary heart disease",Region,Borough,Code
E02000120,"Brent 028",Brent,12307,8.99,4.66,3.71,4.1,1.37,West,Brent,E09000005
E02000121,"Brent 029",Brent,14684,11.28,4.24,7.42,3.5,2.08,West,Brent,E09000005
E02000122,"Brent 030",Brent,9974,9.43,4.93,4.43,3.8,1.5,West,Brent,E09000005
E02000123,"Brent 031",Brent,17725,11.17,6.88,6.54,3.71,1.63,West,Brent,E09000005
E02000124,"Brent 032",Brent,11886,9.09,4.21,4.14,4.27,1.31,West,Brent,E09000005
E02000125,"Brent 033",Brent,12001,11.14,6.24,5.94,4.11,1.74,West,Brent,E09000005
E02000126,"Brent 034",Brent,9856,9.55,6.59,4.78,5,1.47,West,Brent,E09000005
E02000127,"Bromley 001",Bromley,9943,12.03,6.87,4.44,5.03,2.36,South,Bromley,E09000006
E02000128,"Bromley 002",Bromley,8259,13.69,5.96,4.29,5.45,2.85,South,Bromley,E09000006
E02000130,"Bromley 004",Bromley,9114,10.41,6.4,4.33,4.92,1.83,South,Bromley,E09000006
E02000131,"Bromley 005",Bromley,10361,9.5,6.51,4.1,4.79,1.51,South,Bromley,E09000006
E02000132,"Bromley 006",Bromley,10331,9.88,4.54,3.41,4.47,2.04,South,Bromley,E09000006
E02000133,"Bromley 007",Bromley,11364,12.21,4.57,3.74,4.78,2.62,South,Bromley,E09000006
E02000134,"Bromley 008",Bromley,12820,11.21,4.76,3.95,4.06,2.38,South,Bromley,E09000006
E02000135,"Bromley 009",Bromley,11160,10.36,7.23,4.71,4.52,1.84,South,Bromley,E09000006
E02000136,"Bromley 010",Bromley,5996,12.47,7.42,4.49,5.17,2.8,South,Bromley,E09000006
E02000137,"Bromley 011",Bromley,8643,10.93,4.17,3.63,4,2.18,South,Bromley,E09000006
E02000138,"Bromley 012",Bromley,9129,11.94,4.68,3.79,4.71,2.43,South,Bromley,E09000006
E02000139,"Bromley 013",Bromley,8550,10.37,5.22,3.74,5.12,2.11,South,Bromley,E09000006
E02000140,"Bromley 014",Bromley,9114,13.02,10.08,5.17,5.57,2.98,South,Bromley,E09000006
E02000141,"Bromley 015",Bromley,7768,10.71,6.58,4.47,4.98,2.12,South,Bromley,E09000006
E02000142,"Bromley 016",Bromley,9309,10.21,4.34,3.62,4.18,2.27,South,Bromley,E09000006
E02000144,"Bromley 018",Bromley,10392,10.1,3.71,3.73,3.92,2.07,South,Bromley,E09000006
E02000145,"Bromley 019",Bromley,9410,13.39,9.23,5.01,4.93,2.75,South,Bromley,E09000006
E02000146,"Bromley 020",Bromley,10229,11.09,5.71,3.88,4.47,2.43,South,Bromley,E09000006
E02000147,"Bromley 021",Bromley,8812,11.25,4.16,3.7,4.19,2.24,South,Bromley,E09000006
E02000148,"Bromley 022",Bromley,7120,12.65,5.83,4.12,5.2,2.64,South,Bromley,E09000006
E02000149,"Bromley 023",Bromley,8412,12.4,7.74,4.87,4.97,2.57,South,Bromley,E09000006
E02000150,"Bromley 024",Bromley,9135,11.45,4.52,3.92,5.4,2.42,South,Bromley,E09000006
E02000151,"Bromley 025",Bromley,8073,13.18,5.38,4.21,5.21,2.63,South,Bromley,E09000006
E02000152,"Bromley 026",Bromley,8422,12.75,7.2,4.31,5.34,2.86,South,Bromley,E09000006
E02000153,"Bromley 027",Bromley,8613,13.5,4.74,3.89,4.59,2.59,South,Bromley,E09000006
E02000154,"Bromley 028",Bromley,9043,12.93,5.95,4.61,5.32,2.73,South,Bromley,E09000006
E02000155,"Bromley 029",Bromley,7527,14.02,7.17,5.15,5.29,2.9,South,Bromley,E09000006
E02000156,"Bromley 030",Bromley,13221,13.42,5.2,4.23,4.53,2.84,South,Bromley,E09000006
E02000157,"Bromley 031",Bromley,8816,14.33,6.33,4.58,5.32,3.18,South,Bromley,E09000006
E02000158,"Bromley 032",Bromley,8392,13.72,5.91,4.85,5.31,2.84,South,Bromley,E09000006
E02000159,"Bromley 033",Bromley,7629,14.04,6.29,4.22,5.18,3.04,South,Bromley,E09000006
E02000160,"Bromley 034",Bromley,8505,14.8,5.35,4.22,4.82,2.9,South,Bromley,E09000006
E02000161,"Bromley 035",Bromley,9378,14.13,5.07,4.66,4.87,3.05,South,Bromley,E09000006
E02000162,"Bromley 036",Bromley,7498,15.43,6.13,4.68,5.03,3.25,South,Bromley,E09000006
E02000163,"Bromley 037",Bromley,8374,14.34,5.17,4.42,4.56,3.02,South,Bromley,E09000006
E02000165,"Bromley 039",Bromley,7476,15.98,6.39,4.49,5.36,3.2,South,Bromley,E09000006
E02000166,"Camden 001",Camden,9314,9.87,3.88,3.23,4.58,1.44,Central,Camden,E09000007
E02000167,"Camden 002",Camden,8903,10.76,3.09,2.54,3.55,1.77,Central,Camden,E09000007
E02000168,"Camden 003",Camden,9702,10.43,4.27,3.65,4.92,1.42,Central,Camden,E09000007
E02000169,"Camden 004",Camden,8345,9.33,2.84,2.4,3.18,1.55,Central,Camden,E09000007
E02000170,"Camden 005",Camden,10050,8.5,3.38,3.03,3.22,1.32,Central,Camden,E09000007
E02000171,"Camden 006",Camden,9478,10.17,4.06,3.15,3.82,1.58,Central,Camden,E09000007
E02000172,"Camden 007",Camden,12831,10.79,5.08,4.37,4.65,1.63,Central,Camden,E09000007
E02000173,"Camden 008",Camden,9561,9.29,3.34,2.53,3.4,1.55,Central,Camden,E09000007
E02000174,"Camden 009",Camden,11401,9.03,3.99,3.54,4.51,1.26,Central,Camden,E09000007
E02000175,"Camden 010",Camden,11094,8.19,3.41,2.59,3.4,1.15,Central,Camden,E09000007
E02000176,"Camden 011",Camden,7453,9.78,3.73,2.78,3.84,1.6,Central,Camden,E09000007
E02000177,"Camden 012",Camden,10830,11.16,5.09,4.27,4.64,1.74,Central,Camden,E09000007
E02000178,"Camden 013",Camden,11097,9.87,5.06,3.77,3.96,1.45,Central,Camden,E09000007
E02000179,"Camden 014",Camden,7616,9.51,3.64,2.82,3.87,1.54,Central,Camden,E09000007
E02000180,"Camden 015",Camden,8994,8.67,4.23,3.68,4.38,1.3,Central,Camden,E09000007
E02000181,"Camden 016",Camden,9845,9.34,4.26,3.22,3.81,1.32,Central,Camden,E09000007
E02000182,"Camden 017",Camden,9369,8.18,3.52,2.68,3.38,1.28,Central,Camden,E09000007
E02000183,"Camden 018",Camden,8838,10.64,3.44,3.02,3.69,1.56,Central,Camden,E09000007
E02000184,"Camden 019",Camden,11286,9.4,4.54,3.93,4.15,1.3,Central,Camden,E09000007
E02000185,"Camden 020",Camden,10858,11.13,5.42,4.28,4.02,1.55,Central,Camden,E09000007
E02000186,"Camden 021",Camden,7371,10.16,4.54,4.33,3.95,1.52,Central,Camden,E09000007
E02000187,"Camden 022",Camden,11489,9.37,4.94,4.52,3.93,1.33,Central,Camden,E09000007
E02000188,"Camden 023",Camden,9427,9.45,4.27,4.73,3.82,1.62,Central,Camden,E09000007
E02000189,"Camden 024",Camden,8323,6.52,3.34,2.87,2.6,0.89,Central,Camden,E09000007
E02000190,"Camden 025",Camden,11003,6.29,3.24,2.65,2.35,0.83,Central,Camden,E09000007
E02000191,"Camden 026",Camden,11086,4.1,2.26,1.81,1.92,0.6,Central,Camden,E09000007
E02000192,"Camden 027",Camden,8668,6.58,3.66,2.75,2.75,0.98,Central,Camden,E09000007
E02000193,"Camden 028",Camden,9738,7.4,3.84,2.89,2.73,1.05,Central,Camden,E09000007
E02000194,"Croydon 001",Croydon,10507,9.16,5.29,3.61,4.65,1.26,South,Croydon,E09000008
E02000195,"Croydon 002",Croydon,11006,10.29,6.4,5.26,4.31,1.47,South,Croydon,E09000008
E02000196,"Croydon 003",Croydon,9424,10.54,7.98,5.75,4.07,1.74,South,Croydon,E09000008
E02000197,"Croydon 004",Croydon,11138,9.5,7.33,5.05,3.79,1.68,South,Croydon,E09000008
E02000198,"Croydon 005",Croydon,10393,11.29,7.62,5.94,4.2,1.54,South,Croydon,E09000008
E02000199,"Croydon 006",Croydon,10028,10.97,6.68,5.72,3.97,1.53,South,Croydon,E09000008
E02000200,"Croydon 007",Croydon,9357,10.27,5.49,4.65,4.24,1.43,South,Croydon,E09000008
E02000201,"Croydon 008",Croydon,9681,10.32,5.36,4.82,4.15,1.52,South,Croydon,E09000008
E02000202,"Croydon 009",Croydon,10347,10.96,6.95,6.15,3.98,1.83,South,Croydon,E09000008
E02000203,"Croydon 010",Croydon,9251,10.84,6.76,6,3.79,1.66,South,Croydon,E09000008
E02000204,"Croydon 011",Croydon,11608,11.72,7.11,6.69,4.17,1.96,South,Croydon,E09000008
E02000206,"Croydon 013",Croydon,11450,9.61,6.64,5,3.82,1.55,South,Croydon,E09000008
E02000207,"Croydon 014",Croydon,9967,10.79,5.99,5.21,4.31,1.79,South,Croydon,E09000008
E02000208,"Croydon 015",Croydon,12280,10.86,6.5,6.07,4.19,1.85,South,Croydon,E09000008
E02000209,"Croydon 016",Croydon,10220,10.15,6.17,5.91,3.85,1.55,South,Croydon,E09000008
E02000210,"Croydon 017",Croydon,9399,11.48,6.19,5.03,4.46,2.15,South,Croydon,E09000008
E02000211,"Croydon 018",Croydon,8451,14.28,4.72,5.02,4.78,2.54,South,Croydon,E09000008
E02000212,"Croydon 019",Croydon,10787,9.75,5.4,5.62,3.88,1.56,South,Croydon,E09000008
E02000213,"Croydon 020",Croydon,13700,9.93,5.99,5.23,4.07,1.69,South,Croydon,E09000008
E02000214,"Croydon 021",Croydon,6777,12.06,6.37,5,5.18,2.23,South,Croydon,E09000008
E02000215,"Croydon 022",Croydon,12967,9.78,5.75,4.28,3.89,1.87,South,Croydon,E09000008
E02000216,"Croydon 023",Croydon,8211,7.58,4.37,3.48,3.35,1.45,South,Croydon,E09000008
E02000217,"Croydon 024",Croydon,12550,8.17,5.28,4.26,3.91,1.42,South,Croydon,E09000008
E02000218,"Croydon 025",Croydon,7227,12.7,5.91,4.69,4.1,2.14,South,Croydon,E09000008
E02000219,"Croydon 026",Croydon,8141,14.2,4.58,4.91,4.52,2.52,South,Croydon,E09000008
E02000220,"Croydon 027",Croydon,13708,7.92,4.85,3.74,3.89,1.48,South,Croydon,E09000008
E02000221,"Croydon 028",Croydon,11733,9.38,6.49,4.57,4.6,1.71,South,Croydon,E09000008
E02000222,"Croydon 029",Croydon,8531,9.91,5.3,4.17,4.31,1.99,South,Croydon,E09000008
E02000223,"Croydon 030",Croydon,9670,11.42,6.1,5.04,4.5,2.22,South,Croydon,E09000008
E02000224,"Croydon 031",Croydon,8614,11.48,5.25,4.56,4.76,2.35,South,Croydon,E09000008
E02000225,"Croydon 032",Croydon,8463,11.62,6.17,5.4,4.66,2.4,South,Croydon,E09000008
E02000226,"Croydon 033",Croydon,8458,13.22,5.5,4.74,5.2,2.62,South,Croydon,E09000008
E02000227,"Croydon 034",Croydon,12609,13.37,5.77,4.99,5.24,2.66,South,Croydon,E09000008
E02000228,"Croydon 035",Croydon,8430,12.61,5.2,4.66,4.96,2.54,South,Croydon,E09000008
E02000229,"Croydon 036",Croydon,7196,11.02,5.84,5.24,4.49,2.39,South,Croydon,E09000008
E02000230,"Croydon 037",Croydon,11154,12.07,4.97,4.48,4.44,2.3,South,Croydon,E09000008
E02000231,"Croydon 038",Croydon,8399,12.94,4.85,4.62,4.54,2.38,South,Croydon,E09000008
E02000232,"Croydon 039",Croydon,6789,12.56,4.79,4.73,4.98,2.49,South,Croydon,E09000008
E02000233,"Croydon 040",Croydon,6751,11.39,4.7,4.15,4.22,2.12,South,Croydon,E09000008
E02000234,"Croydon 041",Croydon,9555,12.35,4.96,4.28,4.49,2.39,South,Croydon,E09000008
E02000235,"Croydon 042",Croydon,7423,11.24,4.38,3.92,4.28,2.06,South,Croydon,E09000008
E02000236,"Croydon 043",Croydon,8635,14.39,4.91,4.77,5.12,2.7,South,Croydon,E09000008
E02000237,"Croydon 044",Croydon,8157,13.84,5.5,4.51,5.35,2.86,South,Croydon,E09000008
E02000238,"Ealing 001",Ealing,11040,11.3,6.37,5.58,4.47,1.85,West,Ealing,E09000009
E02000239,"Ealing 002",Ealing,10277,12.98,6.89,6.75,3.85,2.08,West,Ealing,E09000009
E02000240,"Ealing 003",Ealing,12233,11.22,6.49,5.85,5.16,1.99,West,Ealing,E09000009
E02000241,"Ealing 004",Ealing,7782,12.26,7.16,6.18,4.95,2.11,West,Ealing,E09000009
E02000242,"Ealing 005",Ealing,7949,11.83,6.52,6.67,4.11,2.52,West,Ealing,E09000009
E02000243,"Ealing 006",Ealing,9997,11.55,6.74,6.15,4.19,2.33,West,Ealing,E09000009
E02000244,"Ealing 007",Ealing,8654,10.84,6.92,5.78,4.18,2.18,West,Ealing,E09000009
E02000245,"Ealing 008",Ealing,9795,11.23,7.21,5.92,5.21,1.92,West,Ealing,E09000009
E02000246,"Ealing 009",Ealing,10302,12.12,6.2,6,4.8,1.94,West,Ealing,E09000009
E02000247,"Ealing 010",Ealing,12603,12.14,7.12,6.63,5.31,2.41,West,Ealing,E09000009
E02000248,"Ealing 011",Ealing,9164,8.94,4.12,3.95,3.25,1.78,West,Ealing,E09000009
E02000249,"Ealing 012",Ealing,8851,12.71,6.7,6.95,5.04,2.8,West,Ealing,E09000009
E02000250,"Ealing 013",Ealing,7548,11.74,5.13,3.78,4.66,2.44,West,Ealing,E09000009
E02000251,"Ealing 014",Ealing,9790,14.33,7.73,8.57,5.6,3.22,West,Ealing,E09000009
E02000252,"Ealing 015",Ealing,14947,7.69,5.07,3.77,3.19,1.44,West,Ealing,E09000009
E02000253,"Ealing 016",Ealing,11514,12.34,7,5.51,5.33,2.08,West,Ealing,E09000009
E02000254,"Ealing 017",Ealing,11856,14.96,8.73,10.65,5.72,3.26,West,Ealing,E09000009
E02000255,"Ealing 018",Ealing,11069,10.72,5.23,4.19,4.77,2.04,West,Ealing,E09000009
E02000256,"Ealing 019",Ealing,10329,10.04,5.2,3.73,4.3,1.99,West,Ealing,E09000009
E02000257,"Ealing 020",Ealing,17542,8.76,4.13,3.22,3.63,1.87,West,Ealing,E09000009
E02000258,"Ealing 021",Ealing,8644,8.26,5.59,3.86,3.52,1.55,West,Ealing,E09000009
E02000259,"Ealing 022",Ealing,7311,12.21,6.18,5.09,5.65,2.19,West,Ealing,E09000009
E02000260,"Ealing 023",Ealing,12772,14.48,8.44,10.6,5.19,3.26,West,Ealing,E09000009
E02000261,"Ealing 024",Ealing,15251,7.47,5.68,4.07,3.33,1.44,West,Ealing,E09000009
E02000262,"Ealing 025",Ealing,11168,9.49,6.81,4.41,4.1,1.77,West,Ealing,E09000009
