MSOA11CD,MSOA11NM,LocalAuthority,child_poverty_prop,Region,Borough,Code
E02000072,Bexley 008,Bexley,0.210451576,East,Bexley,E09000004
E02000073,Bexley 009,Bexley,0.135926993,East,Bexley,E09000004
E02000074,Bexley 010,Bexley,0.217118998,East,Bexley,E09000004
E02000075,Bexley 011,Bexley,0.10212766,East,Bexley,E09000004
E02000077,Bexley 013,Bexley,0.134495641,East,Bexley,E09000004
E02000078,Bexley 014,Bexley,0.111333333,East,Bexley,E09000004
E02000079,Bexley 015,Bexley,0.109555691,East,Bexley,E09000004
E02000080,Bexley 016,Bexley,0.136831276,East,Bexley,E09000004
E02000081,Bexley 017,Bexley,0.135953608,East,Bexley,E09000004
E02000082,Bexley 018,Bexley,0.109211252,East,Bexley,E09000004
E02000083,Bexley 019,Bexley,0.188954635,East,Bexley,E09000004
E02000084,Bexley 020,Bexley,0.121868979,East,Bexley,E09000004
E02000085,Bexley 021,Bexley,0.139825218,East,Bexley,E09000004
E02000086,Bexley 022,Bexley,0.096313017,East,Bexley,E09000004
E02000087,Bexley 023,Bexley,0.087357955,East,Bexley,E09000004
E02000088,Bexley 024,Bexley,0.095567867,East,Bexley,E09000004
E02000089,Bexley 025,Bexley,0.061568373,East,Bexley,E09000004
E02000090,Bexley 026,Bexley,0.091946734,East,Bexley,E09000004
E02000091,Bexley 027,Bexley,0.100364964,East,Bexley,E09000004
E02000092,Bexley 028,Bexley,0.200264375,East,Bexley,E09000004
E02000093,Brent 001,Brent,0.228817028,West,Brent,E09000005
E02000094,Brent 002,Brent,0.199106256,West,Brent,E09000005
E02000095,Brent 003,Brent,0.201528176,West,Brent,E09000005
E02000096,Brent 004,Brent,0.16056338,West,Brent,E09000005
E02000097,Brent 005,Brent,0.189522342,West,Brent,E09000005
E02000098,Brent 006,Brent,0.206349206,West,Brent,E09000005
E02000099,Brent 007,Brent,0.217898833,West,Brent,E09000005
E02000100,Brent 008,Brent,0.095910781,West,Brent,E09000005
E02000101,Brent 009,Brent,0.167721519,West,Brent,E09000005
E02000102,Brent 010,Brent,0.214399153,West,Brent,E09000005
E02000103,Brent 011,Brent,0.184559159,West,Brent,E09000005
E02000104,Brent 012,Brent,0.193324061,West,Brent,E09000005
E02000105,Brent 013,Brent,0.167272727,West,Brent,E09000005
E02000106,Brent 014,Brent,0.203362034,West,Brent,E09000005
